Recvd,Listed,Sold,Order #,Order Date,Item Id,Item,Category,Quantity,Item Price,Item End Time,Payment Date,Payment Amount,Tracking #,Tax,Shipping Price,Handling Price,Shipped Date,Seller
,,,,,,,,,,,,,,,,,,
X,"Ebay, Etsy, Bonz",,19038596,5/15/2018,52542076,Tommy Hilfiger Ladies Ankle Boots sz 7,Clothing > Women's Clothing > Shoes Women's > Size 7,1,$8.99,5/15/2018,5/15/2018,$21.13,1ZX083Y60361943778,$0.00,$10.15,$1.99,1/1/0001,Goodwill Industries of Central Florida
X,,,19038817,5/15/2018,52553767,2 Southwest Turquoise Heishi Shell Necklaces,Jewelry & Gemstones > Costume Jewelry,1,$9.99,5/15/2018,5/15/2018,$16.98,9400110898317030000000,$0.00,$4.99,$2.00,1/1/0001,Goodwill Industries of Central Texas
X,,,19038338,5/15/2018,52446237,THE JUNGLE BOOKS by Rudyard Kipling '68 Hardcover,Collectibles > Hollywood Memorabilia > Disney,1,$7.99,5/15/2018,5/15/2018,$37.04,416462775143,$0.00,$8.08,$5.98,1/1/0001,"Goodwill Industries of Northern Michigan, Inc."
,"Ebay, Etsy, Bonz",,19038338,5/15/2018,52464071,Authentic Brown COACH Handbag,Clothing > Women's Clothing > Purses,1,$14.99,5/15/2018,5/15/2018,$37.04,416462775143,$0.00,$8.08,$5.98,1/1/0001,"Goodwill Industries of Northern Michigan, Inc."
X,"Ebay, Etsy, Bonz",,19036284,5/15/2018,52599462,"Anne Klein leather jacket, size L",Clothing > Women's Clothing > Outerwear,1,$12.99,5/15/2018,5/15/2018,$20.89,681000545422,$0.00,$5.90,$2.00,1/1/0001,Goodwill Industries of Southwest Oklahoma & North Texas
,"Ebay, Etsy, Bonz",,,5/15/2018,52460346 ,Anne Klein Clutch Wallet ,,,$7.99,,,,,,,,,
,,,,5/15/2018,52462532 ,Ugg Ladies Shoes Sz 6 ,,,$6.99,,,,,,,,,
,,,,5/15/2018,52462459 ,Crown Trifari Swirled Brooch & Clip Earrings Set,,,$7.99,,,,,,,,,
,,,,5/15/2018,52441977 ,SnowZu Women's Teal Vest Sz M NWT ,,,$7.99,,,,,,,,,
,"Ebay, Etsy, Bonz",,,5/15/2018,52441983,Vera Bradly Women's Purse,,,$7.99,,,,,,,,,
,,,,5/15/2018,52441995,Stuart Weitzman Black Leather Loafers Size 8 ,,,$7.99,,,,,,,,,
,"Ebay, Etsy, Bonz",,,5/15/2018,52442064,Fair Hooded Leather Jacket Size M,,,$7.99,,,,,,,,,
,"Ebay, Etsy, Bonz",,,5/15/2018,52442170 ,Women's Tommy Hilfiger Purple/Gold Colored Purse ,,,$7.99,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
X,"Ebay, Etsy, Bonz",,19050033,5/16/2018,52585575,Bandolino 8.5 Knee High Boots,Clothing > Women's Clothing > Shoes Women's > Size 8.5,1,$9.99,5/16/2018,5/16/2018,$18.53,433039166352,$0.00,$6.54,$2.00,1/1/0001,Goodwill Columbus
X,"Ebay, Etsy, Bonz",,19051972,5/16/2018,52667100,Kenneth Cole Blue Leather Duffel Purse,Clothing > Women's Clothing > Purses,1,$21.00,5/16/2018,5/16/2018,$31.24,437288655380,$0.00,$6.99,$3.25,1/1/0001,"Goodwill Industries of SW Florida, Inc."
,Etsy,,,5/16/2018,52441223 ,"Jook & Nona 18k G. P. ""inspire"" Necklace ",,,$4.99,,,,,,,,,
,,,,5/16/2018,52269896,Black Woven Ralph Lauren Shoulder Bag ,,,$4.50,,,,,,,,,
,"Ebay, Etsy, Bonz",,,5/16/2018,52398283 ,14K Gold Pink Twisted Rope Earrings ,,,$32.00,,,,,,,,,
,,,,5/16/2018,52490208 ,Women's Columbia Green Rain W/ Hood Jacket Sz M ,,,$7.99,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"Ebay, Etsy, Bonz, Tradsy",,,5/16/2018,52560479 ,3 lbs Leather Tasseled Antonio Melani Handbag ,,,$9.99,,,,,,,,,
,Etsy,,,5/16/2018,52559591 ,Tiffany & Co. Sterling Silver Somerset Mesh Ring ,,,$76.00,,,,,,,,,
,"Etsy, Bonz",,,5/16/2018,52672953,Silver-Plated Tableware Set,,,$13.00,,,,,,,,,
,"Etsy, Bonz",,,5/16/2018,52454187 ,10K Lapis Beaded Necklace & Etched Ring 8 ,,,$56.10,,,,,,,,,
,"Etsy, Bonz",,,5/16/2018,52509064 ,The Sak & Ralph Lauren Purse Bundle,,,$16.99,,,,,,,,,
,,,,5/16/2018,52547807,4 Silver Bracelets - 65g ,,,$20.99,,,,,,,,,
,"Etsy, Bonz",,,5/16/2018,52557922,"18"" 14K Gold Rope Link Chain-4.0g",,,$92.50,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
X,,,19060460,5/17/2018,52422172,Freshwater Button Pearl Sterling Silver Necklace,Jewelry & Gemstones > Necklaces,1,$13.50,5/17/2018,5/17/2018,$22.34,416446898574,$0.00,$6.34,$2.50,1/1/0001,Discover Goodwill of Southern and Western Colorado
X,,,19060437,5/17/2018,52562718,Marquis by Waterford Bride & Groom Stemed Flutes,Tableware and Kitchenware > Glassware,1,$4.99,5/17/2018,5/17/2018,$14.90,731232380998,$0.00,$6.92,$2.99,1/1/0001,"Goodwill Industries of Central Illinois, Inc."
X,,,19060410,5/17/2018,52546833,2 Sterling Pendant Necklaces inc Moon & Stars,Jewelry & Gemstones > Necklaces,1,$7.99,5/17/2018,5/17/2018,$16.72,419736316577,$0.00,$5.73,$3.00,1/1/0001,"Goodwill Industries of Delaware & Delaware County, Inc."
X,,,19060404,5/17/2018,52705022,023- Tiffany & Co Elsa Peretti Sterling Necklace,Jewelry & Gemstones > Necklaces,1,$79.00,5/17/2018,5/17/2018,$88.50,9405515901950530000000,$0.00,$7.00,$2.50,1/1/0001,"Goodwill Industries of Northwest North Carolina, Inc."
,,,19060382,5/17/2018,52554742,Lot of Assorted TY Beanie Babies Plush Toys #2,Collectibles > Plush Toys,1,$9.95,5/17/2018,5/17/2018,$40.40,443037668839,$0.00,$28.45,$2.00,1/1/0001,Goodwill Industries of San Diego County
,,,19060367,5/17/2018,52633140,"Coach handbag, G1J-60948 [Red]",Clothing > Women's Clothing > Purses,1,$10.99,5/17/2018,5/17/2018,$18.26,681000545731,$0.00,$5.27,$2.00,1/1/0001,Goodwill Industries of Southwest Oklahoma & North Texas
X,,,19060351,5/17/2018,52540568,Two Pairs 925 Sterling Silver Hoop Earrings 5.7 G,Jewelry & Gemstones > Earrings,1,$6.00,5/17/2018,5/17/2018,$13.22,426667838025,$0.00,$4.97,$2.25,1/1/0001,Goodwill Industries of Southwestern Michigan
X,,,19060333,5/17/2018,52557444,Born Ladies Black Leather Clogs Sz 7M,Clothing > Women's Clothing > Shoes Women's > Size 7,1,$9.99,5/17/2018,5/17/2018,$20.63,437288657876,$0.00,$7.39,$3.25,1/1/0001,"Goodwill Industries of SW Florida, Inc."
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
X,,,19069128,5/18/2018,52575886,"Born Concept Black Leather Clogs, Women's 8 M",Clothing > Women's Clothing > Shoes Women's > Size 8,1,$7.99,5/18/2018,5/18/2018,$17.61,417341926477,$0.00,$7.12,$2.50,1/1/0001,Discover Goodwill of Southern and Western Colorado
,,,19065511,5/18/2018,52550018,Multiple Gem Gold plate 925 Silver bracelet,Jewelry & Gemstones > Bracelets,1,$4.99,5/17/2018,5/18/2018,$13.48,443397477691,$0.00,$5.50,$2.99,1/1/0001,"Goodwill Industries of Duluth, Minnesota"
X,,,19069119,5/18/2018,52464828,Nice Mystery Grabbag of Jewelry,Jewelry & Gemstones > Jewelry Grabbags,1,$42.00,5/18/2018,5/18/2018,$51.18,437317600189,$0.00,$6.68,$2.50,1/1/0001,"Goodwill Industries of Northeast Indiana, Inc."
X,,,19065553,5/18/2018,52670803,Under Armour Mens White Athletic Shirt Small,Clothing > Men's Clothing > Shirts > Size S,1,$3.00,5/18/2018,5/18/2018,$9.87,9400115901376140000000,$0.00,$6.12,$0.75,1/1/0001,Goodwill Industries of Northeastern Pennsylvania
X,,,19065663,5/18/2018,52719198,925; Woven; Wide Half Hoop; Earrings,Jewelry & Gemstones > Earrings,1,$19.99,5/18/2018,5/18/2018,$33.67,663768177490,$0.00,$10.18,$3.50,1/1/0001,Goodwill Industries of Northwest Texas
X,,,19069102,5/18/2018,52566957,Turquoise Gemstone Necklace,Jewelry & Gemstones > Necklaces,1,$9.99,5/18/2018,5/18/2018,$19.94,437288655976,$0.00,$6.70,$3.25,1/1/0001,"Goodwill Industries of SW Florida, Inc."
,,,,5/18/2019,52592482 ,Tan Polo Ralph Lauren Shoes Size 6 Men's ,,,$9.99,,,,,,,,,
