TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,VARIATION 1 TYPE,VARIATION 1 NAME,VARIATION 1 VALUES,VARIATION 2 TYPE,VARIATION 2 NAME,VARIATION 2 VALUES
Noat Allure Riding Boots,"Gently Used
Exterior scuffs or marksMissing accessories (shoebox, dustbag)
This item has visible signs of wear

Noat Allure Woman's Black/Brown Boots 
List Price $315

Sz 38 #2
Suede boots with Brown Leather Straps riveted on

GENDER woman
CONDITION in excellent condition, item is pre-owned and unworn.
PLEASE SEE PHOTOS FOR MORE DETAIL
MEASUREMENTS
BALL OF FOOT 3
LENGTH 10
HEEL HEIGHT 3",125,USD,1,"Clothing,Shoes,Women,Noat,Allure,Suede_Boots,Leather_Boots",,https://img.etsystatic.com/il/d48969/1513352032/il_fullxfull.1513352032_2ci2.jpg?version=0,https://img.etsystatic.com/il/8e799a/1560814925/il_fullxfull.1560814925_2vw5.jpg?version=0,https://img.etsystatic.com/il/d487e5/1560814921/il_fullxfull.1560814921_d0tf.jpg?version=0,,,,,,,,,,,,,
"Set - Pearl Necklace, Bracelet and 14K Earrings","Pearl Necklace,Bracelet w 10K Gold Clasp & 14K Gold Earrings

All materials tested. 

Necklace is 18"" long and the pearls are 5.9mm in diameter.

The bracelet is 7.5"" long and the pearls are 5.4mm in diameter.

The earrings dangle 1.25"" long and the pearls are 4.8mm in diameter.


Clasp Markings:

10K - 

Total Weight: 26.9 grams",55,USD,1,"Jewelry,Pearl,Set_of_Pearls,14k,10k,Gold","Pearl,Gold",https://img.etsystatic.com/il/b1e573/1560680159/il_fullxfull.1560680159_2y84.jpg?version=0,,,,,,,,,,,,,,,
10K Gold Diamond Bridal Engagement Ring Sz 4,"10K Gold Diamond Bridal Engagement Ring

Measurements:

Ring: 4

Diamond Sizes: APPROX 1.50mm AND 2.60mm

Markings: W ^ S, 10K

Total Weight: 1.6g",65,USD,1,"Jewelry,Ring,Gold,10K,Engagement_Ring,Diamond",Gold,https://img.etsystatic.com/il/2a78ca/1560661005/il_fullxfull.1560661005_fa23.jpg?version=0,,,,,,,,,,,,,,,
"2 Pairs, Solid 14K Yellow Gold, 3.25g Hoop Earrings","Solid 14K Yellow Gold Earrings


Total Weight: 3.25 Grams

3/4"" and 1"" in diameter


Rhinestones 


Condition: Excellent and Very Good",50,USD,1,"Jewelry,Earrings,Solid_Gold,14k_Gold,Hoop_Earrings",Gold,https://img.etsystatic.com/il/94c7be/1513075162/il_fullxfull.1513075162_9wy3.jpg?version=0,,,,,,,,,,Style,Style,"Rhinestone Hoops,Solid Hoops,Set of 2 pr",,,
1909 Taft Inaugural Medal,"Inaugural Medal from the 1909 election of United States President William Howard Taft and Vice President James Sherman. 

 Medal Producer was Joseph K. Davison & Sons. A limited quantity of 3,000 medals were originally issued, far fewer remain in circulation today. 

Condition: Very Good

Size: 51 mm Diameter



Some Oxidation/Discoloration on front, Copper still shines",145,USD,1,"Vintage,Collectibles,Taft,Inaugural,Medal,Rare_Coin,Numismatics",,https://img.etsystatic.com/il/a7063d/1513073688/il_fullxfull.1513073688_1hc6.jpg?version=0,,,,,,,,,,,,,,,
14K White Gold Pave Diamond Ring with Band,"14K White Gold Diamond Engagement Ring
Size 6.5
1.69g

Diamonds measure 1mm and 1.5mm in the center
Diamond Weight: 0.40 Carat t.w.
Diamond Color:  I - J
Diamond Clarity: SI2 - I1
Maker's Mark 


14k White Gold Band 
Size 6.25 
1.52g
2mm width

[One client requested a smaller band to hold onto a tapered finger, it can be resized or sold seperately.]",50,USD,2,"Jewelry,Ring,Wedding_Bands,White_Gold,Diamonds,14K,Solid_Gold,Engagement_Ring","Gold,Diamond",https://img.etsystatic.com/il/32ca06/1513068778/il_fullxfull.1513068778_gv1q.jpg?version=0,https://img.etsystatic.com/il/42463d/1560533591/il_fullxfull.1560533591_a6ew.jpg?version=0,,,,,,,,,Style,Style,"Wedding Set,Pave Set Diamond,Band",,,
Etinne Aigner Riding Boots,"Etienne Aigner Women's Black Riding Boots
Embossed upper and unworn soles. 

Size 9",45,USD,1,"Clothing,Shoes,Women,Etienne_Aigner,Riding_Boots,Boots",,https://img.etsystatic.com/il/5ca6d8/1510903460/il_fullxfull.1510903460_p6dy.jpg?version=0,,,,,,,,,,,,,,,
Coach Mariette Snow Boots,"Coach Mariette Boots

Perfect for Mammoth or Teton!
Size  5 M

Pre-owned, nearly unused
Comes in New Shoe Box w Tissue
Product Identifiers
GTIN0663360510741
BRANDCoach
UPC0663360510741

StyleSnow, Winter Boots
Extra Material: Fur
US Shoe Size (Women's)5
WidthMedium (B, M)
Heel HeightLow (3/4 in. to 1 1/2 in.)
ColorBlack
FasteningZip
PatternTextured",75,USD,1,"Clothing,Shoes,Women,Coach,Mariette,Snow_Boots,Boots,w_Box",,https://img.etsystatic.com/il/4374c8/1510899466/il_fullxfull.1510899466_bnsd.jpg?version=0,https://img.etsystatic.com/il/ca77ed/1558361455/il_fullxfull.1558361455_dp4a.jpg?version=0,,,,,,,,,,,,,,
Prada Gold Satchel w Tura Sunglasses,"Prada Italy Gold Satchel 

Pre-owned, Gently Used
Exterior scuffs or marks, Leather aging and very clean inside.

W Tura Glasses Gold Satchel
10""L x 5""W x 7""H

Prada Italy Gold Satchel 
Purchase at Full Price, I will throw in Tura Green Sunglasses as a thank you. 

Otherwise, willing to work out price. Make a reasonable offer. 

Length(in.):10
Width(in.):5
Height(in.):7
Drop(in.):4

CONDITION: Pre-owned, wear on the outside and very clean inside.
-Free Of Odor -

[Glasses are non prescription, Pre-owned, excellent condition, without case.]",367,USD,1,"Bags_And_Purses,Prada,Satchel,Purse,Handbag",,https://img.etsystatic.com/il/c161f0/1560809975/il_fullxfull.1560809975_fbxa.jpg?version=0,https://img.etsystatic.com/il/60a0fd/1558303549/il_fullxfull.1558303549_o6ji.jpg?version=0,https://img.etsystatic.com/il/52931d/1560809761/il_fullxfull.1560809761_lbkl.jpg?version=0,,,,,,,,,,,,,
XOXO Diversion Satchel,"A wonderful addition to any purse or hand bag collection, this XOXO Diversion Satchel features no rips, tears, or stains.   Item is new and unused and comes with original packing contents still inside and original tags. See images for more details.

Measurements:

 Length- 11""

 Width- 4.5""

 Height- 8""

 Drop- 9""""

Color: Black

Style No.: 54199

Weight: 1 lb

Material: Leather, Metal Zipper.",45,USD,1,"Bags_And_Purses,XOXO,Diversion_Satchel,Handbags,Purse",Leather,https://img.etsystatic.com/il/a1e846/1509495332/il_fullxfull.1509495332_qop5.jpg?version=0,,,,,,,,,,,,,,,
